Z,A,E,Yield,N,Z_parity,N_parity,parity_product,parity_category,Z_magic_prox,N_magic_prox,Z_magic_dist,N_magic_dist,Z_shell_closure,N_shell_closure,any_shell_closure,N_over_Z,symmetry_energy,mass_excess
-0.8,0.342857143,0.000116802,8.71e-05,1.142857143,1.2,1.142857143,1.3714285716,OE,0.3753736203551744,0.9150557148920059,2.8,0.8571428569999999,0,1,1,-1.4285714287517857,2.7523809516388895,1.9428571430000001
-0.8,0.342857143,0.000124896,8.71e-05,1.142857143,1.2,1.142857143,1.3714285716,OE,0.3753736203551744,0.9150557148920059,2.8,0.8571428569999999,0,1,1,-1.4285714287517857,2.7523809516388895,1.9428571430000001
-0.8,0.342857143,0.000109308,8.71e-05,1.142857143,1.2,1.142857143,1.3714285716,OE,0.3753736203551744,0.9150557148920059,2.8,0.8571428569999999,0,1,1,-1.4285714287517857,2.7523809516388895,1.9428571430000001
-0.783333333,0.342857143,0.000432566,0.000418982,1.1261904759999999,1.2166666670000001,1.1261904759999999,1.3701984128420635,OE,0.3797670399730623,0.9116929049353889,2.783333333,0.8738095240000001,0,1,1,-1.4376899699753203,2.658746690555218,1.909523809
-0.783333333,0.342857143,0.000391862,0.000418982,1.1261904759999999,1.2166666670000001,1.1261904759999999,1.3701984128420635,OE,0.3797670399730623,0.9116929049353889,2.783333333,0.8738095240000001,0,1,1,-1.4376899699753203,2.658746690555218,1.909523809
-0.783333333,0.342857143,0.000404742,0.000418982,1.1261904759999999,1.2166666670000001,1.1261904759999999,1.3701984128420635,OE,0.3797670399730623,0.9116929049353889,2.783333333,0.8738095240000001,0,1,1,-1.4376899699753203,2.658746690555218,1.909523809
-0.766666667,0.342857143,0.000638517,0.000609266,1.10952381,1.233333333,1.10952381,1.3684126986301588,OE,0.3841852410010271,0.9082810665870141,2.766666667,0.89047619,0,1,1,-1.4472049689378854,2.5667328053782796,1.876190477
-0.766666667,0.342857143,0.00080524,0.000609266,1.10952381,1.233333333,1.10952381,1.3684126986301588,OE,0.3841852410010271,0.9082810665870141,2.766666667,0.89047619,0,1,1,-1.4472049689378854,2.5667328053782796,1.876190477
-0.766666667,0.342857143,0.00067848,0.000609266,1.10952381,1.233333333,1.10952381,1.3684126986301588,OE,0.3841852410010271,0.9082810665870141,2.766666667,0.89047619,0,1,1,-1.4472049689378854,2.5667328053782796,1.876190477
-0.75,0.342857143,0.001339341,0.000910245,1.092857143,1.25,1.092857143,1.36607142875,OE,0.38862789708956014,0.9048208018745428,2.75,0.907142857,0,1,1,-1.4571428573352763,2.4763392850664068,1.842857143
-0.75,0.342857143,0.001620959,0.000910245,1.092857143,1.25,1.092857143,1.36607142875,OE,0.38862789708956014,0.9048208018745428,2.75,0.907142857,0,1,1,-1.4571428573352763,2.4763392850664068,1.842857143
